deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Set 1","Food & kitchen","Which living ingredient makes bread dough rise?","Yeast","Butter","Salt","Sugar","Yeast","Yeast feeds on sugars and releases carbon dioxide, which inflates the dough.","https://www.britannica.com/science/yeast-fungus"
"Set 1","Nature","What plant makes up most of a giant panda’s diet?","Bamboo","Eucalyptus","Seaweed","Pine needles","Bamboo","Wild giant pandas spend much of the day eating bamboo.","https://nationalzoo.si.edu/animals/giant-panda"
"Set 1","Sports","In tennis scoring, what does “love” mean?","One point","A tied score","Match point","Zero","Zero","Love is the standard tennis term for a score of zero.","https://www.itftennis.com/media/7221/2026-rules-of-tennis-english.pdf"
"Set 1","World","Which river flows beneath London’s Tower Bridge?","Danube","Rhine","Thames","Seine","Thames","Tower Bridge crosses the River Thames in central London.","https://www.britannica.com/topic/Tower-Bridge"
"Set 1","Screen & sound","Who sings lead on the Beatles’ 1966 single “Yellow Submarine”?","Ringo Starr","George Harrison","Paul McCartney","John Lennon","Ringo Starr","Ringo Starr sings the lead vocal; the other Beatles join the choruses.","https://www.thebeatles.com/yellow-submarine"
"Set 1","Science","After breathing normal air, we exhale mostly which gas?","Oxygen","Water vapor","Nitrogen","Carbon dioxide","Nitrogen","Nitrogen makes up about 78% of inhaled air and remains the largest part of exhaled air.","https://www.britannica.com/science/air"
"Set 1","Food & kitchen","What is allspice made from?","A blend of spices","Ground roots","Dried flower buds","Dried berries","Dried berries","Allspice is the dried, unripe berry of the Pimenta dioica tree.","https://www.britannica.com/plant/allspice"
"Set 1","Nature","Penguins expel their salt glands’ secretions through what?","Nostrils","Skin pores","Tear ducts","Ear canals","Nostrils","Their salt glands drain into the nasal passages, so excess salt leaves through the nostrils.","https://oceanservice.noaa.gov/facts/seabird.html"
"Set 1","Books & games","In Carroll’s Alice in Wonderland, the Duchess’s baby turns into what?","Frog","Pig","Rabbit","Mouse","Pig","Alice carries the baby away before it transforms into a pig.","https://www.gutenberg.org/files/11/11-h/11-h.htm"
"Set 1","Nature","Ming, the animal dated to 507 years old, was what?","Greenland shark","Bowhead whale","Ocean clam","Giant tortoise","Ocean clam","Ming was an ocean quahog clam collected near Iceland.","https://www.bangor.ac.uk/news/archive/ocean-quahog-clam-at-least-507-years-old-16466"
"Set 1","Food & kitchen","Margarine’s original French recipe got its main fat from what?","Olive oil","Beef tallow","Coconut oil","Pork lard","Beef tallow","Hippolyte Mège-Mouriès made early margarine largely from beef fat.","https://www.britannica.com/topic/margarine"
"Set 1","Food & kitchen","At Heinz’s 1869 launch, what was its first bottled product?","Mustard","Tomato ketchup","Horseradish","Pickle relish","Horseradish","Henry Heinz first sold his mother’s grated horseradish in clear bottles.","https://www.senatorjohnheinzhistorycenter.org/exhibits/heinz/"
"Set 1","Screen & sound","What color are Dorothy’s magic slippers in the 1939 Wizard of Oz?","Blue","Red","Silver","Green","Red","The film changed the book’s silver shoes to ruby slippers to exploit Technicolor.","https://americanhistory.si.edu/collections/object/nmah_670130"
"Set 1","World","A leaf from which tree appears on Canada’s national flag?","Elm","Maple","Oak","Birch","Maple","The flag centers a stylized red maple leaf.","https://www.canada.ca/en/canadian-heritage/services/flag-canada-history.html"
"Set 1","Everyday objects","The fuzzy side of a Velcro fastener is covered in tiny what?","Loops","Hooks","Snaps","Teeth","Loops","One strip has hooks; the softer strip has loops for those hooks to catch.","https://www.britannica.com/technology/hook-and-loop-fastener"
"Set 1","Science","Which part of your eye changes the size of your pupil?","Retina","Cornea","Lens","Iris","Iris","Muscles in the iris constrict or dilate the pupil to control incoming light.","https://www.nei.nih.gov/learn-about-eye-health/healthy-vision/how-eyes-work"
"Set 1","World","The Taj Mahal’s main white marble building was built as what?","A courthouse","A mausoleum","A royal palace","A fortress","A mausoleum","Shah Jahan commissioned the complex as a mausoleum for Mumtaz Mahal.","https://whc.unesco.org/en/list/252/"
"Set 1","Screen & sound","What bird’s head forms the handle of Mary Poppins’ umbrella?","Swan","Duck","Owl","Parrot","Parrot","Mary Poppins carries an umbrella with a talking parrot-head handle.","https://d23.com/a-to-z/mary-poppins-film/"
"Set 1","Screen & sound","In 1971’s Willy Wonka, the machine that rejects Veruca tests what?","Eggs","Chocolate","Gum","Nuts","Eggs","The Eggdicator judges golden chocolate eggs as good or bad.","https://catalog.afi.com/Catalog/moviedetails/54174"
"Set 1","Books & games","In classic Clue, what must you still try to do after a wrong accusation?","Reveal your whole hand","Make one suggestion","Roll on every turn","Disprove suggestions","Disprove suggestions","You stop moving and suggesting, but must still show cards to disprove others’ suggestions.","https://instructions.hasbro.com/en-us/instruction/clue-game"
"Set 1","Everyday objects","What does a tape measure’s sliding end hook compensate for?","The case’s weight","Temperature changes","The tape’s curvature","The hook’s thickness","The hook’s thickness","The hook slides by its own thickness so inside and outside measurements agree.","https://www.uspto.gov/learning-and-resources/journeys-innovation/historical-stories/tape-measure"
"Set 1","Food & kitchen","What gives ordinary aluminum foil its shiny and dull sides?","Polishing after cuts","Spraying one surface","Rolling paired sheets","Cooling at two speeds","Rolling paired sheets","Two sheets are rolled together at the final pass. The sides touching the rollers become shiny.","https://www.britannica.com/technology/aluminum-foil"
"Set 1","Art","Which kitchen tool did Jackson Pollock use to squeeze paint onto canvas?","A cookie press","A turkey baster","A potato ricer","A pastry bag","A turkey baster","Pollock used hardened brushes, sticks, and even a kitchen baster to drip and pour paint.","https://www.moma.org/artists/4675"
"Set 1","Sports","In soccer, a legal throw-in goes directly into your own goal. What next?","A corner kick","Retake the throw-in","A goal kick","An own goal counts","A corner kick","A goal cannot be scored directly from a throw-in. Into your own goal means a corner kick.","https://www.theifab.com/laws/latest/the-throw-in/"
"Set 1","Screen & sound","What was the fake blood in the shower scene of Psycho made from?","Tomato soup","Chocolate syrup","Red paint","Coffee","Chocolate syrup","The black-and-white film used chocolate syrup because its tone and flow read well on camera.","https://www.bfi.org.uk/features/psycho-shower-scene-alfred-hitchcock"
"Set 1","Screen & sound","Which candy did E.T. follow in E.T. the Extra-Terrestrial?","M&Ms","Skittles","Reese’s Pieces","Jelly Babies","Reese’s Pieces","Elliott lays a trail of Reese’s Pieces to coax E.T. out of hiding.","https://catalog.afi.com/Catalog/moviedetails/56772"
"Set 1","Screen & sound","What make of car is the time machine in Back to the Future?","Pontiac","DeLorean","Ferrari","Lotus","DeLorean","Doc Brown builds the time machine from a stainless-steel DeLorean DMC-12.","https://www.loc.gov/item/prn-07-254/"
"Set 1","Screen & sound","David Bowie was born with which surname?","Bolton","Jones","Mercury","Stardust","Jones","He was born David Robert Jones and changed his stage name to avoid confusion with Davy Jones.","https://www.britannica.com/biography/David-Bowie"
"Set 1","Screen & sound","What was the working title of the Beatles song “Yesterday”?","Boiled Eggs","Scrambled Eggs","Sunday Morning","Only Yesterday","Scrambled Eggs","McCartney used “Scrambled Eggs” as a placeholder while developing the melody.","https://www.loc.gov/static/programs/national-recording-preservation-board/documents/Yesterday.pdf"
"Set 1","Screen & sound","The name ABBA is formed from what?","Four home towns","Four surnames","Four first names","A Swedish phrase","Four first names","ABBA takes one initial from Agnetha, Björn, Benny, and Anni-Frid.","https://www.britannica.com/topic/ABBA"
"Set 1","Screen & sound","Which actor provided Darth Vader’s speaking voice in the original Star Wars trilogy?","David Prowse","James Earl Jones","Alec Guinness","Peter Cushing","James Earl Jones","David Prowse played Vader physically, while James Earl Jones supplied the voice.","https://www.britannica.com/biography/James-Earl-Jones"
"Set 1","Screen & sound","Toy Story was the first feature film made entirely with what?","Stop-motion puppets","Computer animation","Digital cameras","Motion capture","Computer animation","Pixar’s 1995 release was the first fully computer-animated feature film.","https://www.pixar.com/feature-films/toy-story"
"Set 1","Sports","In golf, what does a birdie mean?","One over par","One under par","Two under par","An even score","One under par","A birdie is a score of one stroke under par on a hole.","https://www.britannica.com/sports/golf"
"Set 1","Sports","How many feathers are traditionally used in a badminton shuttlecock?","12","14","16","18","16","Competition feather shuttlecocks use 16 feathers fixed into the cork base.","https://corporate.bwfbadminton.com/statutes/"
"Set 1","Sports","What color jersey marks the overall leader of the Tour de France?","Green","White","Polka-dot","Yellow","Yellow","The race leader wears the yellow jersey, or maillot jaune.","https://www.letour.fr/en/the-jerseys-tour-de-france"
"Set 1","Sports","How many balls make up a standard over in modern cricket?","Five","Six","Eight","Ten","Six","An over consists of six valid deliveries by one bowler.","https://www.lords.org/mcc/the-laws-of-cricket/the-over"
"Set 1","Sports","Why does a volleyball libero wear a contrasting jersey?","They are team captain","They cannot serve","Officials must identify them","They joined as a substitute","Officials must identify them","The different jersey lets officials track the libero’s special substitution and position rules.","https://www.fivb.com/volleyball/the-game/official-volleyball-rules/"
"Set 1","Sports","How many points is the black ball worth in snooker?","Five","Six","Seven","Eight","Seven","The black is the highest-value color ball at seven points.","https://wpbsa.com/rules/"
"Set 1","Sports","The modern marathon distance is 26 miles plus how many yards?","185","285","385","485","385","The official distance is 26 miles 385 yards, or 42.195 kilometers.","https://worldathletics.org/disciplines/road-running/marathon"
"Set 1","Sports","What is Wimbledon’s playing surface?","Clay","Grass","Carpet","Hard court","Grass","Wimbledon is the only tennis Grand Slam still played on grass.","https://www.wimbledon.com/en_GB/about_wimbledon/grass_courts.html"
"Set 1","Food & kitchen","Botanically, peanuts belong to which family?","Nuts","Legumes","Grasses","Berries","Legumes","Peanuts grow in pods and belong to the legume family with peas and beans.","https://www.britannica.com/plant/peanut"
"Set 1","Food & kitchen","Capers are usually pickled parts of a plant. Which parts?","Roots","Leaves","Flower buds","Seeds","Flower buds","Capers are unopened flower buds from the caper bush.","https://www.britannica.com/plant/caper"
"Set 1","Food & kitchen","Which spice is the dried stigma of a flower?","Cumin","Saffron","Paprika","Turmeric","Saffron","Saffron consists of hand-picked stigmas from the saffron crocus.","https://www.britannica.com/plant/saffron"
"Set 1","Food & kitchen","Nutmeg and mace come from what relationship?","Two unrelated roots","One tree’s seed and seed covering","The same dried leaf","Two stages of one flower","One tree’s seed and seed covering","Nutmeg is the seed; mace is the lacy red covering around that seed.","https://www.britannica.com/plant/nutmeg"
"Set 1","Food & kitchen","Traditional Worcestershire sauce contains which fish?","Tuna","Sardines","Anchovies","Mackerel","Anchovies","Anchovies ferment with vinegar, molasses, tamarind, and seasonings in the classic sauce.","https://www.britannica.com/topic/Worcestershire-sauce"
"Set 1","Food & kitchen","What does the Italian name tiramisu roughly mean?","Sweet morning","Pick me up","Layered cream","Coffee cake","Pick me up","The name comes from an Italian phrase meaning “pick me up” or “cheer me up.”","https://www.treccani.it/vocabolario/tiramisu/"
"Set 1","Food & kitchen","The modern chocolate chip cookie was created at which inn?","Toll House Inn","Brown Derby","Savoy Inn","Palmer House","Toll House Inn","Ruth Wakefield developed the cookie at Massachusetts’s Toll House Inn.","https://www.smithsonianmag.com/smart-news/first-chocolate-chip-was-molasses-candy-180963206/"
"Set 1","Food & kitchen","Before small table forks caught on in Europe, forks were mainly used for what?","Eating soup","Cooking and serving","Cutting bread","Measuring spices","Cooking and serving","Ancient forks were largely cooking tools; small personal eating forks spread much later.","https://www.smithsonianmag.com/arts-culture/a-history-of-western-eating-utensils-from-the-scandalous-fork-to-the-incredible-spork-64593179/"
"Set 1","Nature","How many hearts does an octopus have?","One","Two","Three","Four","Three","Two hearts pump blood to the gills and one pumps it around the body.","https://oceanservice.noaa.gov/facts/octopus.html"
"Set 1","Nature","What unusual shape are wombat droppings?","Spiral","Cube","Ring","Pyramid","Cube","Wombats produce cube-shaped droppings due to the changing elasticity of their intestines.","https://www.science.org/content/article/how-do-wombats-poop-cubes-scientists-get-bottom-mystery"
"Set 1","Nature","What color is a polar bear’s skin under its fur?","White","Pink","Black","Gray","Black","Polar bears have black skin beneath translucent, light-scattering fur.","https://nationalzoo.si.edu/animals/polar-bear"
"Set 1","Nature","A giraffe has how many neck vertebrae?","Seven","Twelve","Eighteen","Twenty-four","Seven","Like most mammals, a giraffe has seven neck vertebrae, each one greatly elongated.","https://www.britannica.com/animal/giraffe"
"Set 1","Nature","Flamingos get their pink color mainly from what?","Sunlight","Carotenoid pigments in food","Salt water","A skin oil","Carotenoid pigments in food","Carotenoid pigments from algae and small crustaceans color their feathers.","https://nationalzoo.si.edu/animals/flamingo"
"Set 1","Science","Which planet has a day longer than its year?","Mercury","Venus","Mars","Neptune","Venus","Venus rotates once in about 243 Earth days but orbits the Sun in about 225.","https://science.nasa.gov/venus/facts/"
"Set 1","Science","What color can sunsets appear on Mars?","Green","Blue","Purple","White","Blue","Fine Martian dust scatters light so the sky near the setting Sun can look blue.","https://science.nasa.gov/resource/blue-sunset-on-mars/"
"Set 1","Science","Which planet is hottest, despite not being closest to the Sun?","Mercury","Venus","Earth","Mars","Venus","Venus’s thick carbon-dioxide atmosphere traps enough heat to make it hotter than Mercury.","https://science.nasa.gov/venus/facts/"
"Set 1","Everyday objects","What does the “WD” in WD-40 stand for?","Workshop Degreaser","Water Displacement","Weather Defense","Wax Dissolver","Water Displacement","The product name records “Water Displacement” and the successful 40th formula.","https://www.wd40.com/history/"
"Set 1","Everyday objects","Pencil “lead” is actually made mainly from what?","Lead","Charcoal","Graphite","Zinc","Graphite","Pencil cores use graphite mixed with clay, not metallic lead.","https://www.britannica.com/technology/pencil-writing-implement"
"Set 1","Everyday objects","Bubble Wrap was first marketed as what?","Insulation","Wallpaper","Pool lining","Packing material","Wallpaper","Its inventors first tried selling the sealed-air plastic sheets as textured wallpaper.","https://www.smithsonianmag.com/innovation/accidental-invention-bubble-wrap-180971325/"
"Set 1","Everyday objects","What does ZIP in ZIP Code stand for?","Zonal Index Post","Zone Improvement Plan","Zero Interruption Post","Zoned Information Path","Zone Improvement Plan","The U.S. Postal Service introduced the Zone Improvement Plan code in 1963.","https://facts.usps.com/decoding-the-zip-code/"
"Set 1","World","Big Ben is properly the nickname of what?","The whole palace","The clock face","The Great Bell","The tower","The Great Bell","Big Ben names the Great Bell; the tower itself is Elizabeth Tower.","https://www.parliament.uk/about/living-heritage/building/palace/big-ben/"
"Set 1","World","Which country lies in all four hemispheres?","Brazil","Indonesia","Kenya","Kiribati","Kiribati","Kiribati crosses both the equator and the 180-degree meridian.","https://www.britannica.com/place/Kiribati"
"Set 1","World","What is the world’s deepest lake?","Lake Superior","Lake Tanganyika","Lake Baikal","Caspian Sea","Lake Baikal","Siberia’s Lake Baikal reaches about 1,620 meters at its deepest point.","https://www.britannica.com/place/Lake-Baikal"
"Set 1","World","The Statue of Liberty’s outer skin is made from what metal?","Bronze","Copper","Iron","Zinc","Copper","Thin copper sheets form the exterior; oxidation created the green patina.","https://www.nps.gov/stli/learn/historyculture/statue-statistics.htm"
"Set 2","Screen & sound","What was the first music video shown on MTV?","Money for Nothing","Video Killed the Radio Star","Take on Me","You Better Run","Video Killed the Radio Star","MTV launched on August 1, 1981, with the Buggles video Video Killed the Radio Star.","https://www.smithsonianmag.com/smart-news/first-music-video-played-mtv-video-killed-radio-star-180978319/"
"Set 2","Screen & sound","The film sound-effect technique called Foley is named after a person with what first name?","Jack","Frank","Walter","George","Jack","Sound-effects artist Jack Foley pioneered the synchronized performance technique that bears his name.","https://www.oscars.org/collection-highlights/foley"
"Set 2","Screen & sound","How tall is an Oscar statuette?","10.5 inches","11.75 inches","13.5 inches","15 inches","13.5 inches","The Academy Award statuette stands 13.5 inches tall and weighs 8.5 pounds.","https://www.oscars.org/oscars/statuette"
